RMSSD,pNN58,SDNN,SD1,SD2,SD1_SD2,emotion
112,41,77,79,75,1.042456343063773,开心
124,41,77,87,65,1.3337718577107005,开心
122,50,81,86,75,1.140440674707263,开心
107,63,75,75,74,1.0098192041461718,开心
99,50,66,70,61,1.1411690056378854,开心
64,16,50,45,55,0.827170191868511,开心
-117,66,85,98,68,1.434307866965477,开心
118,41,71,83,56,1.4857467597574754,开心
62,23,45,43,47,0.9183536867546748,开心
69,27,87,46,114,0.4019034689166476,开心
111,50,66,78,50,1.5560963993796544,开心
102,46,56,72,34,2.0956897770128737,开心
114,46,64,80,42,1.87939088317016,开心
70,41,63,50,73,0.6773651374345779,开心
101,41,63,70,54,1.3113622716623392,开心
90,46,101,62,-128,0.486889894756532,开心
101,50,115,71,-109,0.4838380786280507,开心
82,60,83,55,105,0.5269648103866932,开心
-82,58,111,123,98,1.2508328263882291,开心
-113,58,88,101,74,1.3650722662165984,开心
116,69,97,82,109,0.7538792478868914,开心
80,45,82,55,103,0.5315571300296077,开心
106,50,72,74,69,1.0582799154752798,开心
65,18,96,46,-128,0.3614220743767122,开心
83,30,88,58,111,0.5281491887723411,开心
75,33,50,52,46,1.1299025807109355,开心
72,33,46,50,42,1.195025552118102,开心
51,15,45,36,53,0.6753340911725495,开心
58,23,49,41,57,0.7211281715432295,开心
55,15,41,38,43,0.900918614190916,开心
64,25,43,45,41,1.10502609546604,开心
50,8,38,35,41,0.8604029077469938,开心
43,8,33,30,35,0.8695599817625598,开心
50,7,30,34,26,1.3416407864998736,开心
53,14,33,37,29,1.2607915671206495,开心
81,38,47,57,33,1.710436193393771,开心
